"","Sample","Marker","A1.AFG1","A2.AFG1","A1.AFG9","A2.AFG9","A1.AFG15","A2.AFG15","A1.AFG1.M","A2.AFG1.M","A1.AFG4.M","A2.AFG4.M","A1.AFG6.M","A2.AFG6.M","A1.AFG8.M","A2.AFG8.M","A1.AFG9.M","A2.AFG9.M","A1.AFG45","A2.AFG45","A1.AFG46","A2.AFG46","A1.AFG48","A2.AFG48","A1.AFG49","A2.AFG49","A1.AFG50","A2.AFG50","A1.AFG51","A2.AFG51","A1.AFG58","A2.AFG58","A1.AFG60","A2.AFG60","error","numgenos","A1consens","A2consens","hom"
"801","PRBI138","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,1,266,272,FALSE
"823","PRBI14","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,300,NA,NA,NA,NA,274,300,NA,NA,NA,NA,NA,NA,NA,NA,274,300,NA,NA,NA,NA,FALSE,3,274,300,FALSE
"845","PRBI147","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264,278,FALSE
"867","PRBI148","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"889","PRBI149","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,280,FALSE
"911","PRBI15","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,274,FALSE
"933","PRBI150","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"955","PRBI151","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,FALSE,2,266,272,FALSE
"977","PRBI152","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"999","PRBI153","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278,302,FALSE
"1021","PRBI154","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,290,FALSE
"1043","PRBI155","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,274,FALSE
"1065","PRBI156","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"1087","PRBI157","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,272,NA,NA,NA,NA,NA,1,262,272,FALSE
"1109","PRBI158","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1131","PRBI159","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,302,FALSE
"1153","PRBI16","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,266,302,FALSE
"1175","PRBI160","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"1197","PRBI164","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
"1219","PRBI167","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,276,FALSE
"1241","PRBI168","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1263","PRBI169","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"1285","PRBI17","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,290,NA,NA,NA,NA,NA,1,266,290,FALSE
"1307","PRBI170","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1329","PRBI174","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"1351","PRBI175","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,266,TRUE
"1373","PRBI178","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,278,NA,NA,NA,NA,FALSE,2,268,278,FALSE
"1395","PRBI179","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,290,NA,NA,NA,NA,FALSE,2,272,290,FALSE
"1417","PRBI18","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278,302,FALSE
"1439","PRBI180","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"1461","PRBI181","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"1483","PRBI183","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,290,NA,NA,NA,NA,NA,1,266,290,FALSE
"1505","PRBI185","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1527","PRBI188","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264,278,FALSE
"1549","PRBI189","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,292,FALSE
"1571","PRBI19","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"1593","PRBI20","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1615","PRBI209","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,304,NA,NA,NA,NA,FALSE,2,302,304,FALSE
"1637","PRBI210","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,FALSE,2,266,266,TRUE
"1659","PRBI213","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,FALSE,2,266,278,FALSE
"1681","PRBI214","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"1703","PRBI215","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"1725","PRBI216","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,268,NA,NA,NA,NA,FALSE,2,266,268,FALSE
"1747","PRBI226","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,FALSE,2,262,266,FALSE
"1769","PRBI227","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,268,NA,NA,NA,NA,FALSE,2,266,268,FALSE
"1791","PRBI228","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,FALSE,2,266,278,FALSE
"1813","PRBI229","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,292,FALSE
"1835","PRBI230","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,292,NA,NA,NA,NA,NA,1,262,292,FALSE
"1857","PRBI231","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,266,TRUE
"1879","PRBI232","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,292,FALSE
"1901","PRBI233","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"1923","PRBI234","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"1945","PRBI235","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278,302,FALSE
"1967","PRBI236","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"1989","PRBI237","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,FALSE,2,262,266,FALSE
"2011","PRBI238","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,FALSE,2,262,266,FALSE
"2033","PRBI239","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,266,FALSE
"2055","PRBI24","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,290,FALSE
"2077","PRBI25","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,288,NA,NA,NA,NA,FALSE,2,278,288,FALSE
"2099","PRBI26","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,270,278,FALSE
"2121","PRBI261","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,1,266,266,TRUE
"2143","PRBI262","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,290,FALSE
"2165","PRBI263","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264,272,FALSE
"2187","PRBI29","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,FALSE,2,266,266,TRUE
"2209","PRBI3","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,278,FALSE
"2231","PRBI30","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,302,NA,NA,NA,NA,FALSE,2,292,302,FALSE
"2253","PRBI31","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"2275","PRBI32","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,270,NA,NA,NA,NA,FALSE,2,262,270,FALSE
"2297","PRBI324","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,290,FALSE
"2319","PRBI326","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"2341","PRBI327","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"2363","PRBI328","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278,292,FALSE
"2385","PRBI329","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"2407","PRBI33","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,302,NA,NA,NA,NA,FALSE,2,290,302,FALSE
"2429","PRBI330","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,302,FALSE
"2451","PRBI331","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,270,FALSE
"2473","PRBI332","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,290,NA,NA,NA,NA,FALSE,2,262,290,FALSE
"2495","PRBI333","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"2517","PRBI334","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,302,NA,NA,NA,NA,FALSE,2,302,302,TRUE
"2539","PRBI335","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,FALSE,2,266,272,FALSE
"2561","PRBI336","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE
"2583","PRBI337","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,278,FALSE
"2605","PRBI338","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,298,NA,NA,NA,NA,FALSE,2,262,298,FALSE
"2627","PRBI339","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,274,NA,NA,NA,NA,FALSE,2,272,274,FALSE
"2649","PRBI34","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"2671","PRBI340","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"2693","PRBI341","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,FALSE,2,266,266,TRUE
"2715","PRBI342","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,278,FALSE
"2737","PRBI35","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"2759","PRBI36","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,302,NA,NA,NA,NA,NA,1,292,302,FALSE
"2781","PRBI364","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,274,FALSE
"2803","PRBI37","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,266,TRUE
"2825","PRBI40","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,274,FALSE
"2847","PRBI41","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,302,NA,NA,NA,NA,FALSE,2,282,302,FALSE
"2869","PRBI42","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,FALSE,2,262,266,FALSE
"2891","PRBI43","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,278,NA,NA,NA,NA,FALSE,2,278,278,TRUE
"2913","PRBI44","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278,290,FALSE
"2935","PRBI45","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,278,FALSE
"2957","PRBI46","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,292,FALSE
"2979","PRBI466","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,290,FALSE
"3001","PRBI5","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,278,FALSE
"3023","PRBI510","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,266,272,FALSE
"3045","PRBI6","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,278,NA,NA,NA,NA,FALSE,2,274,278,FALSE
"3067","PRBI7","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,290,NA,NA,NA,NA,FALSE,2,270,290,FALSE
"3089","PRBI72","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,270,FALSE
"3111","PRBI73","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272,302,FALSE
"3133","PRBI74","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,270,292,FALSE
"3155","PRBI75","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,NA,NA,NA,NA,FALSE,2,266,272,FALSE
"3177","PRBI76","ACH_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,262,266,FALSE
